name,Channel_Name,Platform,Start_Year,Follower/Subscriber_count,Avg_Views_count,Core_Area,Subject,Key_points,Cross_Platform,Cross_Platform_Type,Uploaded by,Engagement_Rate
Ajay Singh,JEE with Ajay,YouTube,2013,217000,106000,JEE,4,JEE Mentor,Yes,"Telegram, Instagram",Nipuna,48.85
Prateek Kumar Behera,JEEcompass (IITB),YouTube,2024,18300,30000,JEE,0,JEE Mentor,Yes,"Telegram, Instagram",Nipuna,163.93
Eknoor Singh,EknoorSingh,YouTube,2020,168000,15800,JEE,2,JEE Mentor,Yes,"Telegram, Instagram",Nipuna,9.4
Shreyash Gupta,JEEsociety,YouTube,2024,73600,12000,JEE,0,JEE Mentor,Yes,"Telegram, Instagram,LinkedIn",Nipuna,16.3
Anup Sir,MathonGo,YouTube,2015,700000,10000,JEE,4,JEE Mentor,Yes,Instagram,Nipuna,1.43
Ashish Arora,Physics Galaxy,YouTube,2011,1000000,50000,JEE,2,JEE Mentor,Yes,"Instagram,LinkedIn",Nipuna,5.0
Mohit Tyagi,Mohit Tyagi,YouTube,2012,1700000,25400,JEE,4,JEE guidance,Yes,"Telegram, Instagram,LinkedIn",Nipuna,1.49
Nishant Jindal,Nishant Jindal (IIT Delhi),YouTube,2018,600000,8100,JEE,0,JEE guidance,Yes,Instagram,Nipuna,1.35
Vinit Kumar,Vinit Kumar [IIT Bombay],YouTube,2022,332000,25400,JEE,2,JEE guidance,Yes,Instagram,Nipuna,7.65
Prashant Singh,Prashant Singh [IIT Bombay],YouTube,2020,101000,20000,JEE,4,JEE guidance,Yes,Instagram,Nipuna,19.8
Dr Rakshita Singh,Dr Rakshita Singh,YouTube,2014,2180000,150000,NEET,4,MBBS mentor,Yes,"Telegram, Instagram",Nipuna,6.88
Garima Goel,Dr Garima Goel,YouTube,2013,100000,15000,NEET,3,MBBS mentor,Yes,"Telegram, Instagram",Nipuna,15.0
Dr Anand Mani,Dr Anand Mani,YouTube,2022,41400,65000,NEET,3,MBBS mentor,Yes,Instagram,Nipuna,157.0
Aman Tilak,DrAmanTilak,YouTube,2013,584000,65000,NEET,3,MBBS mentor,Yes,Instagram,Nipuna,11.13
Akanksha Karnwal,Akansha Karnwal Unacademy,YouTube,2020,112000,25000,NEET,2,MBBS mentor,Yes,Instagram,Nipuna,22.32
Dr Amit Gupta – Neet Mentor,Dr Amit Gupta,YouTube,2016,67300,10000,NEET,3,NEET strategy,Yes,Instagram,Nipuna,14.86
Aditya Joshi,Aditya Joshi,YouTube,2021,222000,8000,NEET,1,NEET strategy,Yes,"Telegram, Instagram",Nipuna,3.6
Ritu Ratewal,Biofairy Ritu Rattewal,YouTube,2011,777000,40000,NEET,3,NEET strategy,Yes,None,Unassigned,5.15
Rittik Baheti,Rittik Baheti(IITIAN),YouTube,2017,259000,28600,JEE,General,JEE strategy and mentorship,yes,"instagram, linkedin, whatsapp, telegram",rudveg,11.04
Ripudaman Singh,RDS Vlogs[IIT Guwahati],YouTube,2022,455000,14800,JEE,2,JEE mentor -speciality in org chem,yes,instagram ,rudveg,3.25
Group of mentors,Mentors Eduserv,YouTube,2011,53600,1188, JEE/NEET,0,"Both jee neet, classes ",yes,"instagram, linkedin, whatsapp, telegram",rudveg,2.22
Nova,Pathshala by Nova,YouTube,2018,653000,18620,JEE,0,"overall engineering, jee ai",yes,"instagram, twitter, whatsapp",rudveg,2.85
Divyanshu Agrawal,Divyanshu Agrawal,YouTube,2024,71300,4704,JEE,0,iitian and mentor,yes,"Instagram, telegram, linkedin",rudveg,6.6
Prasad,PRASAD PHYSICS JEE MENTOR,YouTube,2013,78300,2227,JEE,1,jee mentor physics,no,None,rudveg,2.84
Komali,Komali Mam,YouTube,2012,639000,18400,JEE/NEET,2,chemistry ,yes,"Instagram, whatsapp",rudveg,2.88
Anmol Sharma,Anmol Sharma Biology,YouTube,2018,233000,36000,NEET,3,Biology for neet free,yes,"Telegram, Instagram",rudveg,15.45
Group of mentors 2,Magnet Brains IIT-JEE & NEET,YouTube,2020,113000,11600,JEE/NEET,0,IIT JEE & NEET,yes,"Instagram, telegram",rudveg,10.27
Ashish Singh,ashish singh lectures,YouTube,2016,1800000,5920,Boards,0,Boards hindi medium,yes,"Instagram, Telegram",rudveg,0.33
Chaitanya Rastogi,DexterChem - Chemistry by Chaitanya Rastogi,YouTube,2021,64300,2260,JEE/NEET,2,"Chemistry 1 stop soln, dexterchem",yes,"linkedin, telegram",rudveg,3.51
Saleem ahmed ,JEE Wallah,Other,2021,3240000,0,JEE,0,best jee teacher on youtube,yes,"Instagram, whatsapp,linkedin",shubhankar,0.0
Pranav Pundarik,Pranav Pundarik - Unacademy,YouTube,2015,103000,15920,NEET,0,NEET one shot,yes,Telegram,Faraz,15.46
